metadata field,Child Doc Octiv ID,parent begdoc id,Parent Doc Octiv ID
parent_begdoc,2719468,CTRL00020645,2719486
parent_begdoc,2719469,CTRL00020645,2719486
parent_begdoc,2719470,CTRL00020645,2719486
parent_begdoc,2719471,CTRL00020645,2719486
parent_begdoc,2719473,CTRL00020645,2719486
parent_begdoc,2719474,CTRL00020645,2719486
parent_begdoc,2719475,CTRL00020645,2719486
parent_begdoc,2719476,CTRL00020645,2719486
parent_begdoc,2719477,CTRL00020645,2719486
parent_begdoc,2719479,CTRL00020645,2719486
parent_begdoc,2719480,CTRL00020645,2719486
parent_begdoc,2719481,CTRL00020645,2719486
parent_begdoc,2719482,CTRL00020645,2719486
parent_begdoc,2719483,CTRL00020645,2719486
parent_begdoc,2719484,CTRL00020645,2719486
parent_begdoc,2719485,CTRL00020645,2719486
parent_begdoc,2719456,CTRL00020622,2719461
parent_begdoc,2719457,CTRL00020622,2719461
parent_begdoc,2719458,CTRL00020622,2719461
parent_begdoc,2719459,CTRL00020622,2719461
parent_begdoc,2719460,CTRL00020622,2719461
parent_begdoc,2719462,CTRL00020622,2719461
parent_begdoc,2719463,CTRL00020622,2719461
parent_begdoc,2719464,CTRL00020622,2719461
parent_begdoc,2719465,CTRL00020622,2719461
parent_begdoc,2719466,CTRL00020622,2719461
parent_begdoc,2719444,CTRL00020605,2719444
parent_begdoc,2719446,CTRL00020605,2719444
parent_begdoc,2719447,CTRL00020605,2719444
parent_begdoc,2719448,CTRL00020605,2719444
parent_begdoc,2719449,CTRL00020605,2719444
parent_begdoc,2719450,CTRL00020605,2719444
parent_begdoc,2719451,CTRL00020605,2719444
parent_begdoc,2719452,CTRL00020605,2719444
parent_begdoc,2719453,CTRL00020605,2719444
parent_begdoc,2719454,CTRL00020605,2719444
parent_begdoc,2719432,CTRL00020586,2719442
parent_begdoc,2719433,CTRL00020586,2719442
parent_begdoc,2719434,CTRL00020586,2719442
parent_begdoc,2719436,CTRL00020586,2719442
parent_begdoc,2719437,CTRL00020586,2719442
parent_begdoc,2719438,CTRL00020586,2719442
parent_begdoc,2719439,CTRL00020586,2719442
parent_begdoc,2719440,CTRL00020586,2719442
parent_begdoc,2719441,CTRL00020586,2719442
parent_begdoc,2719443,CTRL00020586,2719442
parent_begdoc,2719427,CTRL00020573,2719428
parent_begdoc,2719429,CTRL00020573,2719428
parent_begdoc,2719430,CTRL00020573,2719428
parent_begdoc,2719431,CTRL00020573,2719428
parent_begdoc,2719423,CTRL00020562,2719424
parent_begdoc,2719425,CTRL00020562,2719424
parent_begdoc,2719426,CTRL00020562,2719424
parent_begdoc,2719420,CTRL00020559,2719421
parent_begdoc,2719422,CTRL00020559,2719421
parent_begdoc,2719415,CTRL00020557,2719419
parent_begdoc,2719416,CTRL00020557,2719419
parent_begdoc,2719417,CTRL00020557,2719419
parent_begdoc,2719418,CTRL00020557,2719419
parent_begdoc,2719408,CTRL00020545,2719407
parent_begdoc,2719409,CTRL00020545,2719407
parent_begdoc,2719410,CTRL00020545,2719407
parent_begdoc,2719411,CTRL00020545,2719407
parent_begdoc,2719412,CTRL00020545,2719407
parent_begdoc,2719413,CTRL00020545,2719407
parent_begdoc,2719414,CTRL00020545,2719407
parent_begdoc,2719404,CTRL00020529,2719406
parent_begdoc,2719405,CTRL00020529,2719406
parent_begdoc,2719394,CTRL00020516,2719393
parent_begdoc,2719395,CTRL00020516,2719393
parent_begdoc,2719396,CTRL00020516,2719393
parent_begdoc,2719397,CTRL00020516,2719393
parent_begdoc,2719398,CTRL00020516,2719393
parent_begdoc,2719399,CTRL00020516,2719393
parent_begdoc,2719400,CTRL00020516,2719393
parent_begdoc,2719401,CTRL00020516,2719393
parent_begdoc,2719402,CTRL00020516,2719393
parent_begdoc,2719403,CTRL00020516,2719393
parent_begdoc,2719382,CTRL00020504,2719383
